en	meaning_en	fr_translation	fr_gender	de_translation	de_gender	es_translation	es_gender	it_translation	it_gender	pt_translation	pt_gender	ru_translation	ru_gender	ar_translation	ar_gender	hi_translation	hi_gender
alcohol	Chemical compound; intoxicating substance in drinks.	alcool	m	Alkohol	m	alcohol	m	alcol	m	álcool	m	алкоголь	m	كحول	m	अल्कोहल	m
alcoholism	Addiction to alcoholic drinks.	alcoolisme	m	Alkoholismus	m	alcoholismo	m	alcolismo	m	alcoolismo	m	алкоголизм	m	إدمان الكحول	m	शराब	m
alibi	Claim of being elsewhere when crime occurred.	alibi	m	Alibi	n	coartada	f	alibi	m	álibi	m	алиби	n	حجة عدم التواجد	f	अलिबाई	f
alien	Foreign; extraterrestrial being; outsider.	étranger	m	Ausserirdischer	m	extraterrestre	m	alieno	m	alienígena	m	инопланетянин	m	مخلوق فضائي	m	विदेशी	m
alignment	Arrangement in a straight line.	alignement	m	Ausrichtung	f	alineación	f	allineamento	m	alinhamento	m	выравнивание	n	محاذاة	f	संरेखण	m
all	Everything; entirety; the whole quantity or extent of something.	tout	m	Alles	n	todo	m	tutto	m	tudo	m	всё	n	كل شيء	m	सब कुछ	m
all-nighter	Activity lasting through the night.	nuit blanche	f	Nachtschicht	f	trasnochada	f	notte in bianco	f	noite em claro	f	ночная смена	f	سهر طوال الليل	m	रात भर का काम	m
allegiance	Loyalty; faithfulness; devotion.	allégeance	f	Treue	f	lealtad	f	fedeltà	f	lealdade	f	верность	f	ولاء	m	वफादारी	f
allergy	Hypersensitive reaction to substance.	allergie	f	Allergie	f	alergia	f	allergia	f	alergia	f	аллергия	f	حساسية	f	एलर्जी	f
alliance	Union; partnership; coalition; agreement.	alliance	f	Allianz	f	alianza	f	alleanza	f	aliança	f	союз	m	تحالف	m	गठबंधन	m
alligator	Large reptile found in swamps.	alligator	m	Alligator	m	caimán	m	alligatore	m	jacaré	m	аллигатор	m	تمساح	m	घडियाल	m
allocation	Distribution; assignment; apportionment.	allocation	f	Zuteilung	f	asignación	f	assegnazione	f	alocação	f	распределение	n	تخصيص	m	आवंटन	m
allotment	Portion assigned; small garden plot.	lotissement	m	Zuteilung	f	parcela	f	assegnazione	f	lote	m	надел	m	قطعة أرض	f	आवंटन	m
allowance	Money given regularly; permitted amount.	allocation	f	Zulage	f	asignación	f	indennità	f	mesada	f	пособие	n	بدل	m	भत्ता	f
alloy	Metal made by combining two or more metals.	alliage	m	Legierung	f	aleación	f	lega	f	liga	f	сплав	m	سبيكة	f	मिश्र धातु	m
ally	A country or person that cooperates with another.	allié	m	Verbündeter	m	aliado	m	alleato	m	aliado	m	союзник	m	حليف	m	सहयोगी	m
almond	Edible seed; oval-shaped nut from almond tree.	amande	f	Mandel	f	almendra	f	mandorla	f	amêndoa	f	миндаль	m	لوز	m	बादाम	m
alpaca	South American mammal related to llama.	alpaga	m	Alpaka	n	alpaca	f	alpaca	m	alpaca	f	альпака	f	ألبكة	f	अल्पाका	m
alpha	First letter of Greek alphabet; dominant individual.	alpha	m	Alpha	n	alfa	f	alfa	m	alfa	m	альфа	f	ألفا	f	अल्फा	m
alphabet	Set of letters used in writing system.	alphabet	m	Alphabet	n	alfabeto	m	alfabeto	m	alfabeto	m	алфавит	m	أبجدية	f	वर्णमाला	m
alternative	Option; choice; substitute; different.	alternative	f	Alternative	f	alternativa	f	alternativa	f	alternativa	f	альтернатива	f	بديل	m	विकल्प	m
altitude	Height above sea level or ground level.	altitude	f	Höhe	f	altitud	f	altitudine	f	altitude	f	высота	f	ارتفاع	m	ऊँचाई	f
alto	The lowest female singing voice.	alto	m	Alt	m	alto	m	contralto	m	contralto	m	альт	m	ألتو	m	आल्टो	m
altogether	Completely; in total.	ensemble	m	Gesamt	n	total	m	totale	m	total	m	общий итог	m	مجموع	m	कुल	m
amateur	Person who does activity for pleasure not money.	amateur	m	Amateur	m	aficionado	m	amatore	m	amador	m	любитель	m	هاو	m	शौकिया	m
amber	Fossilized tree resin.	ambre	m	Bernstein	m	ámbar	m	ambra	f	âmbar	m	янтарь	m	عنبر	m	तृणमणि	f
ambiguity	Uncertainty of meaning.	ambigüité	f	Zweideutigkeit	f	ambigüedad	f	ambiguità	f	ambiguidade	f	двусмысленность	f	غموض	m	द्विअर्थकता	f
ambition	Strong desire for success or achievement.	ambition	f	Ehrgeiz	m	ambición	f	ambizione	f	ambição	f	амбиция	f	طموح	m	उद्देश्य	m
amendment	Change or addition to legal document.	amendement	m	Änderung	f	enmienda	f	emendamento	m	emenda	f	поправка	f	تعديل	m	संशोधन	m
america	Continent or commonly United States.	Amérique	f	Amerika	n	América	f	America	f	América	f	Америка	f	أمريكا	f	अमेरिका	m
american	Relating to or characteristic of America or Americans.	Américain	m	Amerikaner	m	americano	m	americano	m	americano	m	американец	m	أمريكي	m	अमेरिकी	m
amethyst	Purple variety of quartz gemstone.	améthyste	f	Amethyst	m	amatista	f	ametista	f	ametista	f	аметист	m	جمشت بنفسجي	m	बैंगनी पत्थर	m
ammunition	Projectiles fired from weapons.	munitions	f	Munition	f	munición	f	munizioni	f	munição	f	боеприпасы	m	ذخيرة	f	गोला-बारूद	m
amnesty	An official pardon for people who have committed crimes.	amnistie	f	Amnestie	f	amnistía	f	amnistia	f	anistia	f	амнистия	f	عفو عام	m	माफी	f
amount	Quantity; a particular quantity of something.	quantité	f	Menge	f	cantidad	f	quantità	f	quantidade	f	количество	n	كمية	f	मात्रा	f
ampere	Unit of electric current measurement.	ampère	m	Ampere	n	amperio	m	amper	m	ampère	m	ампер	m	أمبير	m	एम्पियर	m
amplitude	The maximum extent of vibration or oscillation.	amplitude	f	Amplitude	f	amplitud	f	ampiezza	f	amplitude	f	амплитуда	f	سعة	f	आयाम	m
amusement	Entertainment or pleasure from something enjoyable.	amusement	m	Vergnügen	n	diversión	f	divertimento	m	diversião	f	развлечение	n	تسلية	f	मनोरंजन	m
anagram	Word formed by rearranging letters of another word.	anagramme	m	Anagramm	n	anagrama	m	anagramma	m	anagrama	m	анаграмма	f	جناس لفظي	m	वर्ण-विपर्यय	m
analogy	A comparison between similar things to explain or clarify.	analogie	f	Analogie	f	analoíga	f	analogia	f	analogia	f	аналогия	f	قياس	m	उपमा	m
analysis	Detailed examination of elements or structure.	analyse	f	Analyse	f	análisis	m	analisi	f	análise	f	анализ	m	تحليل	m	विश्लेषण	m
anarchy	Absence of government or organized authority.	anarchie	f	Anarchie	f	anarquía	f	anarchia	f	anarquia	f	анархия	f	فوضى	f	अराजकता	f
anatomy	The study of body structure and organization.	anatomie	f	Anatomie	f	anatomía	f	anatomia	f	anatomia	f	анатомия	f	تشريح	m	आनातॉमी	f
ancestor	A person from whom one is descended; forefather.	ancêtre	m	Vorfahr	m	antepasado	m	antenato	m	antepassado	m	предок	m	سلف	m	पूर्वज	m
angel	A spiritual being believed to act as attendant or messenger of God.	ange	m	Engel	m	ángel	m	angelo	m	anjo	m	ангел	m	ملاك	m	फरिश्ता	m
anger	A strong feeling of annoyance, displeasure, or hostility.	colère	f	Zorn	m	ira	f	ira	f	ira	f	гнев	m	غضب	m	क्रोध	m
angle	A space between two intersecting lines or surfaces at or close to the point where they meet.	angle	m	Winkel	m	ángulo	m	angolo	m	ângulo	m	угол	m	زاوية	f	कोण	m
animal	A living organism that feeds on organic matter, typically having specialized sense organs and nervous system.	animal	m	Tier	n	animal	m	animale	m	animal	m	животное	n	حيوان	m	पशु	m
animation	The technique of making drawings, models, or puppets appear to move.	animation	f	Animation	f	animación	f	animazione	f	animação	f	анимация	f	رسوم متحركة	f	एनिमेशन	m
ankle	The joint connecting the foot with the leg; the area around this joint.	cheville	f	Knöchel	m	tobillo	m	caviglia	f	tornozelo	m	лодыжка	f	كاحل	m	टखना	f
anniversary	The date on which an event took place in a previous year.	anniversaire	m	Jahrestag	m	aniversario	m	anniversario	m	aniversário	m	годовщина	f	ذكرى سنوية	f	वर्षगाँठ	m
announcement	A public or formal notice announcing something.	annonce	f	Ankündigung	f	anuncio	m	annuncio	m	anúncio	m	объявление	n	إعلان	m	घोषणा	f
announcer	A person who announces something, especially on radio or television.	présentateur	m	Ansager	m	locutor	m	annunciatore	m	locutor	m	диктор	m	مذيع	m	उद्घोषक	m
annoyance	The feeling of being irritated or slightly angry.	agacement	m	Ärger	m	molestia	f	fastidio	m	aborrecimento	m	раздражение	n	إزعاج	m	चिढ़	f
answer	A response to a question, problem, or situation.	réponse	f	Antwort	f	respuesta	f	risposta	f	resposta	f	ответ	m	جواب	m	उत्तर	m
ant	Small insect	fourmi	f	Ameise	f	hormiga	f	formica	f	formiga	f	муравей	m	نملة	f	चींटी	f
antarctic	South polar region	Antarctique	m	Antarktis	f	Antártico	m	Antartide	f	Antártico	m	Антарктида	f	قطب جنوبي	m	अंटार्कटिक	m
antelope	Swift horned animal	antilope	f	Antilope	f	antílope	m	antilope	f	antílope	m	антилопа	f	غزال	m	हरिण	m
anthem	A rousing song identified with a particular group or cause.	hymne	m	Hymne	f	himno	m	inno	m	hino	m	гимн	m	نشيد	m	राष्ट्रगान	m
anthropology	The study of humankind.	anthropologie	f	Anthropologie	f	antropología	f	antropologia	f	antropologia	f	антропология	f	علم الانسان	m	मानवविज्ञान	m
antibiotic	A medicine that inhibits the growth of bacteria.	antibiotique	m	Antibiotikum	n	antibiótico	m	antibiotico	m	antibiótico	m	антибиотик	m	مضاد حيوي	m	प्रतिजैविक	m
antibody	Blood protein produced to counteract antigens.	anticorps	m	Antikörper	m	anticuerpo	m	anticorpo	m	anticorpo	m	антитело	n	جسم مضاد	m	प्रतिरक्षी	m
anticipation	Feeling of expectation; looking forward to something.	anticipation	f	Vorfreude	f	anticipación	f	anticipazione	f	antecipação	f	предвкушение	n	توقع	m	प्रतीक्षा	f
antidote	A medicine to counteract poison.	antidote	m	Gegengift	n	antídoto	m	antidoto	m	antídoto	m	противоядие	n	ترياق	m	विषनाशक	m
antique	A valuable old object	antiquité	f	Antiquität	f	antigüedad	f	antichità	f	antigüidade	f	антиквариат	m	تحفة	f	प्राचीन वस्तु	f
antiquity	The ancient past	antiquité	f	Altertum	n	antigüedad	f	antichità	f	antigüidade	f	древность	f	قدم	m	प्राचीनकाल	m
antiseptic	A substance that prevents infection.	antiseptique	m	Antiseptikum	n	antiséptico	m	antisettico	m	antisséptico	m	антисептик	m	مطهر	m	रोगाणुनाशक	m
anxiety	Worry	anxiété	f	Angst	f	ansiedad	f	ansia	f	ansiedade	f	тревога	f	قلق	m	चिंता	f
anybody	Person; individual; any person at all.	quelqu'un	m	Jemand	m	alguien	m	qualcuno	m	alguém	m	кто-нибудь	m	أي شخص	m	कोई भी	m
anyone	Individual; person; any person whatsoever; unspecified person.	quelqu'un	m	Jemand	m	cualquiera	m	qualcuno	m	qualquer pessoa	f	любой	m	أي أحد	m	कोई भी	m
anything	Object; matter; any object or matter whatever.	n'importe quoi	m	Etwas	n	cualquier cosa	f	qualcosa	f	qualquer coisa	f	что-нибудь	n	أي شيء	m	कुछ भी	m
anywhere	Place; location; in or to any place.	endroit	m	Ort	m	lugar	m	posto	m	lugar	m	место	n	مكان	m	स्थान	m
apartment	Flat	appartement	m	Wohnung	f	apartamento	m	appartamento	m	apartamento	m	квартира	f	شقة	f	अपार्टमेंट	m
apathy	Lack of interest, enthusiasm, or concern.	apathie	f	Apathie	f	apatía	f	apatia	f	apatia	f	апатия	f	لامبالاة	f	उदासीनता	f
ape	A large primate without a tail.	singe	m	Affe	m	mono	m	scimmia	f	macaco	m	обезьяна	f	قرد	m	बंदर	m
aperture	An opening, hole, or gap.	ouverture	f	Öffnung	f	abertura	f	apertura	f	abertura	f	отверстие	n	فتحة	f	द्वार	m
apex	The highest point or peak.	sommet	m	Spitze	f	ápice	m	apice	m	ápice	m	вершина	f	قمة	f	शिखर	m
apocalypse	The complete final destruction of the world.	apocalypse	f	Apokalypse	f	apocalipsis	m	apocalisse	f	apocalipse	m	апокалипсис	m	نهاية العالم	f	प्रलय	m
apology	An expression of regret	excuses	f	Entschuldigung	f	disculpa	f	scuse	f	desculpa	f	извинение	n	اعتذار	m	माफी	f
apostrophe	Punctuation mark	apostrophe	f	Apostroph	m	apostrofe	m	apostrofo	m	apostrofo	m	апостроф	m	فاصلة	f	अवतरण चिह्न	m
apparatus	Equipment for a particular purpose.	appareil	m	Apparat	m	aparato	m	apparecchio	m	aparelho	m	аппарат	m	جهاز	m	उपकरण	m
apparel	Clothing and accessories	vêtements	m	Kleidung	f	ropa	f	abbigliamento	m	roupa	f	одежда	f	ملابس	m	वस्त्र	m
appeal	Request	appel	m	Aufruf	m	apelación	f	appello	m	apelo	m	обращение	n	نداء	m	अपील	m
appearance	Look	apparence	f	Aussehen	n	apariencia	f	aspetto	m	aparência	f	внешность	f	مظهر	m	दिखावट	m
appetite	A natural desire to satisfy a bodily need, especially for food.	appétit	m	Appetit	m	apetito	m	appetito	m	apetite	m	аппетит	m	شهية	f	भूख	m
appetizer	Small first course	amuse-gueule	m	Vorspeise	f	aperitivo	m	antipasto	m	aperitivo	m	закуска	f	مقبلات	m	वृद्धिकारक	m
applause	Clapping hands	applaudissements	m	Beifall	m	aplauso	m	applauso	m	aplauso	m	аплодисменты	m	تصفيق	m	ताली	f
apple	Round fruit	pomme	f	Apfel	m	manzana	f	mela	f	maçã	f	яблоко	n	تفاحة	f	सेब	m
appliance	A device designed for a particular use.	appareil	m	Gerät	n	aparato	m	elettrodomestico	m	aparelho	m	прибор	m	جهاز	m	उपकरण	m
applicant	A person who applies for something.	canditat	m	Bewerber	m	solicitante	m	ricorrente	m	candidato	m	заявитель	m	مقدم طلب	m	आवेदक	m
application	Use	application	f	Anwendung	f	aplicación	f	applicazione	f	aplicação	f	применение	n	تطبيق	m	उपयोग	m
appointment	Meeting	rendez-vous	m	Termin	m	cita	f	appuntamento	m	encontro	m	встреча	f	موعد	m	मुलाकात	f
appraisal	An assessment of worth or quality.	évaluation	f	Bewertung	f	evaluación	f	valutazione	f	avaliação	f	оценка	f	تقييم	m	मूल्यांकन	m
appreciation	Recognition of the full worth of something.	recognaissance	f	Anerkennung	f	reconocimiento	m	riconoscimento	m	reconhecimento	m	признательность	f	تقدير	m	प्रशंसा	f
apprehension	Anxiety or fear that something bad will happen.	apprehension	f	Befürchtung	f	aprensiva	f	ppreensione	f	apreensão	f	опасение	n	قلق	m	आशंका	f
apprentice	Person learning trade from skilled employer.	apprenti	m	Lehrling	m	aprendiz	m	apprendista	m	aprendiz	m	ученик	m	متدرب	m	शिष्य	m
apprenticeship	Training period	apprentissage	m	Lehre	f	aprendizaje	m	apprendistato	m	aprendizagem	f	стажировка	f	تدريب	m	शिक्षाधीनता	f
approach	Method	approche	f	Ansatz	m	enfoquer	m	approccio	m	abordagem	f	подход	m	نهج	m	दृष्टिकोण	m
appropriation	Taking for use	appropriation	f	Aneignung	f	apropiación	f	appropriazione	f	apropiação	f	присвоение	n	استحواذ	m	अधिग्रहण	m
